06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
xestospongin C,C511704,,Allanson Pantzar McLeod syndrome,MESH:C537048,,AGT,5.75,,16116425|17036344
Iodine,D007455,7553-56-2,"Carcinoma, Renal Cell",MESH:D002292,,PTGS2,7.49,,12664575
picrasidine I,C000625506,,"Liver Neoplasms, Experimental",MESH:D008114,,BCL2L1,27.21,,10426811|28100771
polyhexamethyleneguanidine,C060540,31961-54-3,Breast Neoplasms,MESH:D001943,,AKT1,121.79,114480,20228224
polygalacic acid,C067722,22338-71-2,Anthracosis,MESH:D055008,,IL1B,11.93,,20005085
sodium arsenite,C017947,13768-07-5,Neuroblastoma,MESH:D009447,,COX2,20.92,,15492235
lard,C029310,61789-99-9,Brain Ischemia,MESH:D002545,,EGR1,21.86,,17394460
Acrylamide,D020106,,Genetic Predisposition to Disease,MESH:D020022,,BAP1,20.15,,24928783
sodium arsenite,C017947,13768-07-5,Autistic Disorder,MESH:D001321,,SND1,132.55,,20442744
Arsenic Trioxide,D000077237,1327-53-3,Chemical and Drug Induced Liver Injury,MESH:D056486,,UBA5,31.23,,26881866
bisphenol S,C543008,,"Carcinoma, Hepatocellular",MESH:D006528,,CLEC1B,294.23,,28284560
4-(3-(2-propyl-3-hydroxy-4-acetyl)phenoxy)propyloxyphenoxy acetic acid,C520164,,Liver Neoplasms,MESH:D008113,,CPT1B,7.43,,25058030
Chlorodiphenyl (54% Chlorine),D020111,11097-69-1,Dementia,MESH:D003704,,CP,2.78,,12572680
Interleukin 1 Receptor Antagonist Protein,D053590,,"Mesothelioma, Malignant",MESH:D000086002,therapeutic,,,,26935421
Deferoxamine,D003676,70-51-9,"Dermatitis, Atopic",MESH:D003876,,IL4,17.86,,11886533|12230500|18249437
Superoxides,D013481,11062-77-4,Carotid Artery Diseases,MESH:D002340,,AGT,16.47,,12911327
