06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
sodium arsenite,C017947,13768-07-5,Auriculo-condylar syndrome,MESH:C538270,,PLCB4,5.15,614669,
Metals,D008670,,Learning Disabilities,MESH:D007859,,HMOX1,11.66,,11718997
Progesterone,D011374,,Nerve Degeneration,MESH:D009410,,MT1,9.22,,11835189
benz(a)anthracene,C030935,56-55-3,Cocaine-Related Disorders,MESH:D019970,,DRD1,1.98,,15295029|16014726|16541082|20456009
bisphenol F,C000611646,,X-linked sideroblastic anemia,MESH:C536761,,ALAS2,3.9,300751,18637800
Mercury,D008628,7439-97-6,Pulmonary Embolism,MESH:D011655,,EPO,2.86,,12670338
thymeleatoxin,C080287,94482-56-1,Prostatic Neoplasms,MESH:D011471,,SOD2,3.26,,12592389|17465268|17646272|18829485|19074884|22564066|23315858|26468117
"3,4,5,3',4'-pentachlorobiphenyl",C023035,57465-28-8,Lung Injury,MESH:D055370,,HMOX1,7.92,,17365036
Ritonavir,D019438,,Urticaria,MESH:D014581,,ALB,4.59,,8458210
Vancomycin,D014640,1404-90-6,Heart Diseases,MESH:D006331,,PON1,4.0,,28396702
trovafloxacin,C080163,146836-84-2,Oral Submucous Fibrosis,MESH:D009914,,IL6,6.67,,28984080
withanone,C560597,,"Pulmonary Disease, Chronic Obstructive",MESH:D029424,,CDKN2A,12.54,,35303175
Ephedrine,D004809,299-42-3,Neoplasm Invasiveness,MESH:D009361,,NFE2L2,21.03,,32682831
Formaldehyde,D005557,50-00-0,Neoplasm Metastasis,MESH:D009362,,MALAT1,91.16,,24244343|26735578|30349115
fuzi drug herbal,C575009,,Oral Submucous Fibrosis,MESH:D009914,,PTGS2,10.97,,16311067
Copper,D003300,7440-50-8,HIV Infections,MESH:D015658,,ODC1,40.58,,12878215
"bis(2-ethylhexyl) 2,3,4,5-tetrabromophthalate",C576262,,Chemical and Drug Induced Liver Injury,MESH:D056486,,GADD45A,12.28,,20623750
4-bis(2-chloroethyl)aminobenzaldehyde,C012214,1208-03-3,"Neoplasms, Experimental",MESH:D009374,,STAT3,3.58,,29507229
Peroxynitrous Acid,D030421,14691-52-2,COVID-19,MESH:D000086382,,CXCL8,13.37,,32161940
stearic acid,C031183,57-11-4,"Leishmaniasis, Visceral",MESH:D007898,,IL6,22.87,,17404324|22461696|7554475
Perindopril,D020913,82834-16-0,Hearing Loss,MESH:D034381,,BCL2L1,5.28,,17697574
SN50 peptide,C118258,,Weight Gain,MESH:D015430,,ADIPOQ,16.47,,12860835
schizandrin B,C015499,,Neurodevelopmental Disorders,MESH:D065886,,LMX1B,2.51,,20199424
Dapsone,D003622,80-08-0,Hemolysis,MESH:D006461,,G6PD,3.11,,5432368|734759
n-butoxyacetaldehyde,C053320,29043-89-8,Non-alcoholic Fatty Liver Disease,MESH:D065626,,ALDH1A1,9.45,,29718361
"1,7-dimethylxanthine",C021183,611-59-6,Autistic Disorder,MESH:D001321,,IL6,2.86,,8964908
Vancomycin,D014640,1404-90-6,Peripheral Nervous System Diseases,MESH:D010523,,JUN,4.47,,17686523
Water Pollutants,D014873,,Arsenic Poisoning,MESH:D020261,,IL1B,15.83,,16835338
butylbenzyl phthalate,C027561,85-68-7,"Ceroid lipofuscinosis, neuronal 1, infantile",MESH:C537948,,SIRT1,7.91,,21224254
vinclozolin,C025643,50471-44-8,Hamartoma,MESH:D006222,,CYP1A1,4.01,,21998131
Niclosamide,D009534,50-65-7,Lung Neoplasms,MESH:D008175,,AR,44.69,,30008631
"Water Pollutants, Chemical",D014874,,"Disorder of Sex Development, 46,XY",MESH:D058490,,CYP11A1,3.83,,11502818
"2,2',4,6,6'-pentachlorobiphenyl",C417207,,Cardiomegaly,MESH:D006332,,SRC,6.02,,18194989
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,,"Dermatitis, Contact",MESH:D003877,,CASP8,17.71,,25724174
"9,10-Dimethyl-1,2-benzanthracene",D015127,57-97-6,"SPASTIC PARAPLEGIA 62, AUTOSOMAL RECESSIVE",OMIM:615681,,ERLIN1,5.0,615681,
Oleanolic Acid,D009828,508-02-1,Mouth Neoplasms,MESH:D009062,,TP53,12.41,,24224046
Tobacco Smoke Pollution,D014028,,"Infertility, Female",MESH:D007247,,CYP19A1,5.39,,14684609
4-(4-(3-adamantan-1-ylureido)cyclohexyloxy)benzoic acid,C524106,,Adenocarcinoma,MESH:D000230,,TGFB1,15.89,,17418594
2-chloro-5-hydroxyphenylglycine,C107349,,Ovarian Neoplasms,MESH:D010051,,MAPK3,12.03,,16211241
lasiocarpine,C005136,303-34-4,Keratolytic winter erythema,MESH:C536155,,CTSB,4.99,148370,
Propofol,D015742,2078-54-8,"CARBONIC ANHYDRASE VA DEFICIENCY, HYPERAMMONEMIA DUE TO",OMIM:615751,,CA5A,5.61,615751,
Glutaral,D005976,111-30-8,Neuroblastoma,MESH:D009447,,TNF,3.11,,34626302
aluminum lactate,C104223,99874-23-4,Vulvar Lichen Sclerosus,MESH:D007724,,TP53,5.06,,17300232
Ionomycin,D015759,56092-81-0,Carcinoma,MESH:D002277,,CDK4,62.54,,12376462|14522882
Tetrachlorodibenzodioxin,D013749,1746-01-6,"Mesothelioma, Malignant",MESH:D000086002,,HDAC4,126.5,,25756049
Azathioprine,D001379,446-86-6,Melanoma,MESH:D008545,,RAP1GAP,20.54,,19147557|22614916
2-ethoxyethanol,C021296,110-80-5,"Diabetes Mellitus, Experimental",MESH:D003921,,HK1,6.32,,16123366
N-butyloxycarbonyl-methionyl-aspartyl-glycyl-cysteinyl-glutamyl-leucine,C545555,,Prostatic Neoplasms,MESH:D011471,,LEP,5.16,,15042602
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Glomerulonephritis,MESH:D005921,,AGT,9.21,,11459117
Fluoxetine,D005473,54910-89-3,Kidney Diseases,MESH:D007674,,PTGS2,4.84,,19643929
Sulfadimethoxine,D013412,122-11-2,Bradycardia,MESH:D001919,,AGT,11.62,,9519251
Fenthion,D005284,55-38-9,Depressive Disorder,MESH:D003866,,PTGS2,4.71,,19356723
cerivastatin,C086276,,Vitiligo,MESH:D014820,,TNF,3.37,,28836394
Amphetamine,D000661,300-62-9,Small Cell Lung Carcinoma,MESH:D055752,,KHSRP,6.89,,22941189
TAK-875,C557331,,Lung Neoplasms,MESH:D008175,,CXCL14,27.06,,20562917
astragaloside A,C052064,,Pancreatic Neoplasms,MESH:D010190,,SOD2,14.06,,11328670|17895890
fipronil,C082360,120068-37-3,Cataract,MESH:D002386,,AKR1B1,2.42,,21329682|21376710|25541468|28137510
Tamoxifen,D013629,10540-29-1,Hashimoto Disease,MESH:D050031,,IL6,6.04,,16372246
"benzo(a)pyrene 7,8-dihydrodiol",C017228,13345-25-0,"Adrenal Hyperplasia, Congenital",MESH:D000312,,POR,4.94,,18559916
luteolin-7-glucoside,C066408,,"Diabetes Mellitus, Type 1",MESH:D003922,,TNF,17.34,,23640034
S-Adenosylmethionine,D012436,29908-03-0,Obesity,MESH:D009765,,SREBF1,37.89,,10900012
Gentamicins,D005839,,Autoimmune Diseases,MESH:D001327,,SIRT1,19.46,,23993977
Amitrole,D000640,61-82-5,Osteochondrodysplasias,MESH:D010009,,GLB1,13.54,,817853
bisphenol A,C006780,80-05-7,Aortic Valve Insufficiency,MESH:D001022,,TGFB1,2.02,,21216836
"GH-RH(1-29), desaminotyrosyl(1)-ornithyl(12,21)-alpha-aminobutryic acid(15)-norleucyl(27)-aspartyl(28)-agmatine(29)-",C587256,,Pulmonary Edema,MESH:D011654,therapeutic,,,,22308467
Peroxynitrous Acid,D030421,14691-52-2,Asthma,MESH:D001249,,IL6,37.35,,29902480
trans-sodium crocetinate,C487773,,Acute Kidney Injury,MESH:D058186,,MPO,16.3,,20623750
Magnetite Nanoparticles,D058185,,"Liver Cirrhosis, Experimental",MESH:D008106,,HMOX1,234.47,,16025519|16610050|21163135|25380136
stearoyl-coenzyme A,C017725,362-66-3,Dyslipidemias,MESH:D050171,,PPARA,10.65,,16168052
Minocycline,D008911,10118-90-8,"Osteoporosis, Postmenopausal",MESH:D015663,,IL6,12.2,,9032749
Ethylmercuric Chloride,D005034,107-27-7,Asthma,MESH:D001249,,GSTM1,7.76,,16870661|18988661
Diethylhexyl Phthalate,D004051,117-81-7,Lung Neoplasms,MESH:D008175,,CTNNB1,98.81,,18372914
ginsenoside Rh4,C101280,,MELAS Syndrome,MESH:D017241,,SOD2,9.76,,11907800
arsenite,C015001,15502-74-6,"Rhabdomyosarcoma, Embryonal",MESH:D018233,,DMD,12.31,,24793134
Amphetamine,D000661,300-62-9,"Lymphoma, Follicular",MESH:D008224,,BCL2,6.35,,12855623|3287162
systhane,C446685,,Adenocarcinoma of Lung,MESH:D000077192,,UCK2,10.89,,27602772
baicalin,C038044,21967-41-9,Pneumonia,MESH:D011014,,TNF,30.95,,21625544|28917655|34390737
Tretinoin,D014212,302-79-4,Pleural Effusion,MESH:D010996,marker/mechanism,,,,10607690|11804921|1637024|16858973|17564563|18275266|7905175|7934481|9763554
dicyclohexyl phthalate,C036042,84-61-7,Colitis,MESH:D003092,,AHR,4.75,,27783946
1-Naphthylisothiocyanate,D015058,551-06-4,Endometriosis,MESH:D004715,,IGFBP1,54.91,,20864642
ethylene dichloride,C024565,107-06-2,Prenatal Exposure Delayed Effects,MESH:D011297,,ADORA1,9.78,,19092996
Folic Acid,D005492,59-30-3,Chromosome Breakage,MESH:D019457,,MYC,10.02,,25933419
"2-amino-1-methyl-6-phenyl-1H-imidazo(4,5-b)pyridine",C522525,,Prostatic Neoplasms,MESH:D011471,,CYP1A1,7.82,,11275366|17919073
titanium dioxide,C009495,13463-67-7,Amphetamine-Related Disorders,MESH:D019969,,PRKG1,24.18,,18316681
coumarin,C030123,91-64-5,Cachexia,MESH:D002100,,TNF,3.67,,17878525
4-bromohomoibotenic acid,C023366,121313-14-2,Substance Withdrawal Syndrome,MESH:D013375,,GRIA1,10.5,,11404432|12511956
Acetic Acid,D019342,64-19-7,Colonic Neoplasms,MESH:D003110,,VEGFA,64.03,,18987561
"tris(2,3-dibromopropyl)isocyanurate",C541743,52434-90-9,Acatalasia,MESH:D020642,,CAT,5.54,614097,11001624|11117918|1551654|2308162|26074427|34390818
beta-lapachone,C014638,,"Mammary Neoplasms, Animal",MESH:D015674,,EIF5A,27.77,,16316942
lopinavir-ritonavir drug combination,C558899,,"Goiter, Nodular",MESH:D006044,,IL6,5.03,,16372246
perfluorooctane sulfonic acid,C076994,1763-23-1,Chemical and Drug Induced Liver Injury,MESH:D056486,,ABCC1,4.49,,18466103
Vitamin E,D014810,1406-18-4,Heart Arrest,MESH:D006323,,IFNG,2.37,,9806674
amlexanox,C045742,,"Cholangitis, Sclerosing",MESH:D015209,,NOS2,3.94,,12612912
Carvedilol,D000077261,72956-09-3,Esophageal Neoplasms,MESH:D004938,,TP53,26.45,,17634542|26192916
fluorene-9-bisphenol,C000655605,,Myotonia,MESH:D009222,,SCN4A,4.37,,8308722
Mechlorethamine,D008466,,Reperfusion Injury,MESH:D015427,,TNF,54.87,,10706834|12024109|15829914|16971220|17112405|18460982|19058328|23743330|23875703|24898700
"4-(9-(tetrahydrofuran-3-yl))-8-(2,4,6-trifluorophenylamino)-9H-purin-2-ylaminocyclohexan-1-ol",C570789,,Amyotrophic lateral sclerosis 1,MESH:C531617,,TNF,4.52,,11796754
Selenium,D012643,7782-49-2,"Leukemia, Myeloid, Acute",MESH:D015470,,ANXA4,38.6,,17330099
JZL 184,C534333,,Lung Neoplasms,MESH:D008175,,AKT1,22.55,,12511591|21911043|22619562
diisononyl phthalate,C012125,28553-12-0,Amyotrophic Lateral Sclerosis,MESH:D000690,,TP53,10.8,,17434459
alpha-methylhistamine,C069357,6986-90-9,"Pneumonia, Aspiration",MESH:D011015,,NOS2,4.46,,15607125
isoquercitrin,C016527,21637-25-2,Obesity,MESH:D009765,,CYP1B1,36.9,,27036855
citreoviridin,C014416,25425-12-1,"Diabetes Mellitus, Experimental",MESH:D003921,,FGF21,23.75,,23499715
aluminum phosphate,C012714,13765-93-0,Hypotension,MESH:D007022,,TNF,10.56,,10379864|15384034
propylparaben,C006068,94-13-3,"Esophagitis, Peptic",MESH:D004942,,CXCL8,2.94,,18193101
TAK-243,C000622638,,Chemical and Drug Induced Liver Injury,MESH:D056486,,CCT3,6.92,,25231249
Theophylline,D013806,58-55-9,Osteoarthritis,MESH:D010003,,IL1B,7.82,,21954917|37943572
decabromobiphenyl ether,C010902,1163-19-5,"Lipodystrophy, Familial Partial",MESH:D052496,,PPARG,9.33,604367,19793595
eluforsen,C000708084,,Azoospermia,MESH:D053713,,CFTR,6.66,,10856487
Berberine,D001599,2086-83-1,Liver Cirrhosis,MESH:D008103,,ACTA2,47.06,,24239723|24321339|30097701|32659284
Oxygen,D010100,7782-44-7,Liver Diseases,MESH:D008107,,NQO1,13.47,,16610002|17405841
Benzo(a)pyrene,D001564,50-32-8,Esophageal Squamous Cell Carcinoma,MESH:D000077277,,SOX2,81.19,,19801978
tetrabromobisphenol A,C020806,79-94-7,Schizophrenia,MESH:D012559,,NRG1,27.32,,12145742|17333138|17460065|17905522|20561508|20582876|20701826
taxifolin,C003377,480-18-2,Cocaine-Related Disorders,MESH:D019970,,SCARB1,5.89,,17205118
Cocaine,D003042,50-36-2,Lung Neoplasms,MESH:D008175,,JUN,41.26,,20716630
tabersonine,C009373,4429-63-4,"Infarction, Middle Cerebral Artery",MESH:D020244,,IL1B,3.92,,25257527
Dronedarone,D000077764,,Lung Injury,MESH:D055370,,CYP1A1,2.78,,24893714|25703676
Maneb,D008344,12427-38-2,Cleft Lip,MESH:D002971,,FGFR3,6.55,,17963255
resolvin D2,C545423,,"Arthritis, Rheumatoid",MESH:D001172,,TNF,30.72,,12566094|2001072|22450443|34459104|8391952
Dietary Carbohydrates,D004040,,Atherosclerosis,MESH:D050197,,ADIPOQ,13.18,,18931039
acetamide,C030686,60-35-5,Autoimmune Diseases,MESH:D001327,,HCK,9.74,,33617879
asarone,C012195,494-40-6,"Disease Models, Animal",MESH:D004195,,HAND2,7.8,,29394407
Diethylstilbestrol,D004054,56-53-1,Respiratory Tract Diseases,MESH:D012140,,TNF,2.93,,22414385
Clorgyline,D003010,17780-72-2,Stroke,MESH:D020521,,IL1B,3.2,,10950380
titanium dioxide,C009495,13463-67-7,Keratomalacia,MESH:C536156,,RBP4,3.56,,9888420
4-nitrophenol,C024836,100-02-7,"Diabetes, Gestational",MESH:D016640,,AR,8.29,,20421132
"3-(4-dimethylaminobenzylidene)-1,3-dihydroindol-2-one",C549541,,Chemical and Drug Induced Liver Injury,MESH:D056486,,GC,31.2,,16099942
Gadolinium DTPA,D019786,80529-93-7,Oral Submucous Fibrosis,MESH:D009914,,IFNG,17.61,,16311067
Pyruvic Acid,D019289,127-17-3,Gallbladder Neoplasms,MESH:D005706,,TP53,3.9,,24185509|24997986
jujuboside A,C087808,55466-04-1,Asbestosis,MESH:D001195,,TNF,21.64,,20486865|8473757
Eudragit RSPO,C496966,,Thyroid Neoplasms,MESH:D013964,,TNF,3.27,,26037280
cloricromen,C025945,,Nausea,MESH:D009325,,TNF,2.98,,10379864
pyrrolidine,C032519,123-75-1,Agricultural Workers' Diseases,MESH:D000382,,PON1,5.49,,15982977|18430447
bisphenol F,C000611646,,Acute erythroleukemia,MESH:C535673,,FLT3,5.6,,30926971
Leflunomide,D000077339,75706-12-6,Hodgkin Disease,MESH:D006689,,ICAM1,3.73,,7621881|8656679
Carbon Monoxide,D002248,630-08-0,"Diabetes Mellitus, Type 1",MESH:D003922,,IL10,22.17,,19430480
Eugenol,D005054,97-53-0,Neointima,MESH:D058426,,MMP9,4.8,,17964422
Methimazole,D008713,60-56-0,Heart Failure,MESH:D006333,,CIDEA,26.8,,26670611
mercuric bromide,C042720,7789-47-1,Neurodevelopmental Disorders,MESH:D065886,,KCNQ2,9.27,,29942082
Naphthalenes,D009281,,Alopecia,MESH:D000505,,ZFP36,3.53,,15944294
Mitomycin,D016685,50-07-7,Lung Neoplasms,MESH:D008175,,EGR1,62.63,,27935865
MT19c compound,C568376,,Lung Neoplasms,MESH:D008175,,RAF1,9.11,,11884234|38245882
Soman,D012999,96-64-0,Chemical and Drug Induced Liver Injury,MESH:D056486,,PTGS2,3.31,,11743745
Aluminum Hydroxide,D000536,21645-51-2,"Dermatitis, Atopic",MESH:D003876,,IL1B,36.91,,18249437
perfluorooctane sulfonic acid,C076994,1763-23-1,Birth Weight,MESH:D001724,,NFE2L2,2.56,,39038764
Lipopolysaccharides,D008070,,Coronary Disease,MESH:D003327,,MIR17HG,3.52,,28869590
Tetrachlorodibenzodioxin,D013749,1746-01-6,Hypercalcemia,MESH:D006934,,TNFSF11,5.96,,15845617
Tetradecanoylphorbol Acetate,D013755,16561-29-8,Autistic Disorder,MESH:D001321,,SNRPN,92.18,209850,
"Nanotubes, Carbon",D037742,,Weight Gain,MESH:D015430,,IDO1,8.14,,27020609
geldanamycin,C001277,30562-34-6,"Carcinoma, Transitional Cell",MESH:D002295,,PTGS2,13.47,,10582676|10873095|12151359|12664575
nonivamide,C040937,618-92-8,Pneumonia,MESH:D011014,,IL6,10.93,,21625544
sodium arsenite,C017947,13768-07-5,Chemical and Drug Induced Liver Injury,MESH:D056486,,CYP3A23-3A1,15.28,,20623750
fullerene C60,C069837,99685-96-8,Heroin Dependence,MESH:D006556,,NGF,4.38,,17715210
Surface-Active Agents,D013501,,Liver Neoplasms,MESH:D008113,,NDRG1,2.91,,15341671
Sulfamethoxazole,D013420,723-46-6,Hepatitis C,MESH:D006526,,CYP3A4,7.72,,8864187
Aspartame,D001218,22839-47-0,Diabetic Retinopathy,MESH:D003930,,VEGFA,24.95,,11978667|15788408|20577866
1-(quinoxalin-6-ylcarbonyl)piperidine,C097396,,Fibrosis,MESH:D005355,,IL1B,2.92,,25388157
doramectin,C084101,117704-25-3,"Arthritis, Juvenile",MESH:D001171,,IGF1R,6.89,,19565504
"N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride",C434926,,Myocardial Ischemia,MESH:D017202,,PLA2G2A,63.78,,16214533
3-beta-(2-(diethylamino)ethoxy)androst-5-en-17-one,C006261,3039-71-2,Pre-Eclampsia,MESH:D011225,,CP,5.2,,18679377
Viper Venoms,D014757,,Urinary Bladder Neoplasms,MESH:D001749,,CDKN1A,23.76,,18640142
Zymosan,D015054,9010-72-4,Amphetamine-Related Disorders,MESH:D019969,,FOS,10.98,,19689456
Pantoprazole,D000077402,102625-70-7,Sepsis,MESH:D018805,,TGFB1,5.32,,16003065
Resveratrol,D000077185,,"Diabetes Mellitus, Type 2",MESH:D003924,,GSTM1,83.58,,22652274
Silver Compounds,D018030,,"Abnormalities, Multiple",MESH:D000015,,FGFR2,6.51,,10631169
Sorafenib,D000077157,,"Corneal Dystrophy, Congenital Stromal",MESH:C566452,,DCN,3.63,610048,
bifenthrin,C099952,82657-04-3,Prostatic Neoplasms,MESH:D011471,,CYP1A1,110.52,,11275366|17919073
tributyltin,C011559,688-73-3,Adenocarcinoma of Lung,MESH:D000077192,,PSAT1,21.82,,27602772
Acetaminophen,D000082,103-90-2,"Hearing Loss, Noise-Induced",MESH:D006317,,MIR30E,6.06,,23472202
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,,Melanoma,MESH:D008545,,PARP1,24.18,,28759004
Valproic Acid,D014635,99-66-1,Osteochondrodysplasias,MESH:D010009,,KDR,10.89,,17954590
Azoxymethane,D001397,25843-45-2,Schizophrenia,MESH:D012559,,AKT1,31.1,,14745448|15982448|17915974|21187413
arsenic disulfide,C058317,56320-22-0,"Burns, Chemical",MESH:D002057,,IL1B,2.42,,22533443
Ethanol,D000431,64-17-5,Stomach Neoplasms,MESH:D013274,,HSPB1,136.89,,19424620
Docosahexaenoic Acids,D004281,25167-62-8,Asthma,MESH:D001249,,MMP9,40.04,,11742282|15131573
polymarcine,C008971,9006-42-2,Diarrhea,MESH:D003967,,ABCC2,5.29,,32387182
Ouabain,D010042,630-60-4,"Lymphoma, Large B-Cell, Diffuse",MESH:D016403,,BCL2,16.41,,16081686
hexabrominated diphenyl ether 153,C517828,,Inflammation,MESH:D007249,,MMP2,4.55,,24795235
Ketolides,D048628,,Endometriosis,MESH:D004715,,IHH,3.8,,21063030
Glyburide,D005905,10238-21-8,Brain Injuries,MESH:D001930,,ALB,16.55,,17188501|7909931
Formaldehyde,D005557,50-00-0,Kidney Neoplasms,MESH:D007680,,CCND1,8.22,,21693435
bisphenol A,C006780,80-05-7,Autoimmune Diseases,MESH:D001327,,RBP3,5.73,,20007828|21850155
Etoposide,D005047,33419-42-0,"Carcinoma, Transitional Cell",MESH:D002295,,CCND1,24.43,,12151359
Zymosan,D015054,9010-72-4,"Charcot-Marie-Tooth disease, Type 1D",MESH:C537985,,EGR2,5.59,607678,
Dietary Fats,D004041,,"Epiphyseal dysplasia, multiple, 4",MESH:C535504,,SLC26A2,4.15,226900,
mono-benzyl phthalate,C103325,2528-16-7,Bone Diseases,MESH:D001847,,ESR1,6.36,,28505433
di-n-butylphosphoric acid,C065087,107-66-4,Autistic Disorder,MESH:D001321,,EIF4E,37.7,615091,
rutecarpine,C028632,84-26-4,Acute Kidney Injury,MESH:D058186,,TNF,10.02,,16595132|18460982|20623750
Genistein,D019833,446-72-0,Lung Diseases,MESH:D008171,,A2M,13.7,,2475424
Ethinyl Estradiol,D004997,57-63-6,Vision Disorders,MESH:D014786,,PPT1,9.51,,24804307
4-xylene,C031286,106-42-3,Cerebral Hemorrhage,MESH:D002543,,CASP3,3.28,,17971790
"Thymic Factor, Circulating",D013935,78922-62-0,Atherosclerosis,MESH:D050197,,IL6,3.3,,19330073
Arsenic,D001151,7440-38-2,Urinary Bladder Neoplasms,MESH:D001749,,FAS,50.5,,9070496
bisdemethoxycurcumin,C034786,24939-16-0,Cerebral Amyloid Angiopathy,MESH:D016657,,APP,5.46,,21520056
Air Pollutants,D000393,,IMMUNODEFICIENCY 54,OMIM:609981,,MCM4,3.52,609981,
Antirheumatic Agents,D018501,,Myocardial Ischemia,MESH:D017202,,ATP1A1,32.92,,16214533
Fructosamine,D019270,4429-04-3,Desmoid Tumors,MESH:D018222,,TNF,5.08,,19944662
n-tetradecane,C024713,629-59-4,"Diabetes Mellitus, Type 1",MESH:D003922,,IL6,16.6,222100,
pirimiphos methyl,C014153,29232-93-7,Anaphylaxis,MESH:D000707,,KNG1,3.24,,7623993
Vitamin K 3,D024483,58-27-5,Osteosarcoma,MESH:D012516,,EZH2,18.78,,14767549
bisperoxovanadium,C472777,,Developmental Disabilities,MESH:D002658,,PTEN,4.34,,18759867|19265751|19321504
Vorinostat,D000077337,,"Ventricular Dysfunction, Left",MESH:D018487,,AKT1,2.38,,39477182
Methionine,D008715,63-68-3,Adenocarcinoma of Lung,MESH:D000077192,,HK2,52.83,,27602772
Propranolol,D011433,525-66-6,Exanthema,MESH:D005076,marker/mechanism,,,,1268509|5086971
Levonorgestrel,D016912,797-63-7,Autistic Disorder,MESH:D001321,,BCL2,14.69,,11814262|20375269
Physostigmine,D010830,57-47-6,Parkinson Disease,MESH:D010300,,GFAP,15.26,,19276553
"4,4'-diaminodiphenylmethane",C009505,101-77-9,Opioid-Related Disorders,MESH:D009293,,C9,2.91,,18438686
gluconic acid,C030691,526-95-4,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 51,OMIM:617339,,MDH2,6.4,617339,
N-((5-(3-(1-benzylpiperidin-4-yl)propoxy)-1-methyl-1H-indol-2-yl)methyl)-N-methylprop-2-yn-1-amine,C570530,,Hypertriglyceridemia,MESH:D015228,,BCHE,3.88,,23000450
CTAP octapeptide,C529311,,Respiratory Hypersensitivity,MESH:D012130,,TNF,8.48,,18394133
Dinoprostone,D015232,363-24-6,Chemical and Drug Induced Liver Injury,MESH:D056486,,PTGS2,31.93,,11743745
cadmium acetate,C028031,543-90-8,Skin Neoplasms,MESH:D012878,,CASP8,24.24,,18563783
baicalein,C006680,491-67-8,Demyelinating Diseases,MESH:D003711,,TP53,7.69,,18550754
TMC 120A,C402696,,Sarcoma,MESH:D012509,,TNF,6.23,,15675481|16767912|17203757|9794839
Sulfasalazine,D012460,599-79-1,"Abortion, Spontaneous",MESH:D000022,,TIMP3,23.77,,18539642
Nandrolone Decanoate,D000077603,360-70-3,"Aortic Aneurysm, Abdominal",MESH:D017544,,MMP9,3.86,,17196988
Penicillamine,D010396,52-67-5,Lung Injury,MESH:D055370,,CYP1A1,19.24,,24893714|25703676
pimagedine,C004479,79-17-4,Substance Withdrawal Syndrome,MESH:D013375,,MAPK3,7.98,,17549049
Tetradecanoylphorbol Acetate,D013755,16561-29-8,Brain Neoplasms,MESH:D001932,,SOD2,15.59,,21749277
Methapyrilene,D008701,91-80-5,Cholestasis,MESH:D002779,,MIR27B,12.76,,22363424
"3,5-bis(2-fluorobenzylidene)piperidin-4-one",C524042,,"Lymphoma, Mantle-Cell",MESH:D020522,,CCND1,3.69,,22383795|26174628
hydrazine,C029424,302-01-2,Hepatolenticular Degeneration,MESH:D006527,,ANXA5,6.07,,21751376
pristane,C009042,1921-70-6,Drug Eruptions,MESH:D003875,,TNF,2.97,,31150805
pirinixic acid,C006253,50892-23-4,Hypertension,MESH:D006973,,PLG,8.94,,6383834
Soot,D053260,,Pasteurellaceae Infections,MESH:D016871,,HP,8.9,,16755360
puag-haad,C034912,4721-07-7,Vascular System Injuries,MESH:D057772,,NFE2L2,12.91,,19234301
"2,5-dimethyl-4-benzoquinone",C020617,137-18-8,"Cholestasis, Extrahepatic",MESH:D001651,,TIMP1,31.06,,28789951
titanium dioxide,C009495,13463-67-7,Substance-Related Disorders,MESH:D019966,,ABLIM1,21.96,,20098672
epigallocatechin gallate,C045651,989-51-5,Coronary Artery Disease,MESH:D003324,,PSRC1,23.52,,34961328
pimobendan,C041648,74150-27-9,"Diabetes Mellitus, Experimental",MESH:D003921,,IL1B,21.51,,12123627
demethoxycurcumin,C050229,24939-17-1,Glucose Intolerance,MESH:D018149,,INS,7.35,,21779873
JP8 aviation fuel,C098607,,Respiratory Tract Diseases,MESH:D012140,,IFNG,2.09,,21937650
sodium arsenate,C009277,,Myocardial Ischemia,MESH:D017202,,CCND2,91.16,,16214533
Clorgyline,D003010,17780-72-2,Schizophrenia,MESH:D012559,,RB1CC1,16.73,,21822266
GW 7845,C401311,,Myocardial Ischemia,MESH:D017202,,CAMK2D,9.67,,16214533
methyllycaconitine,C054634,21019-30-7,Ileitis,MESH:D007079,,ITGAM,4.87,,10647630
Brefeldin A,D020126,20350-15-6,Glioblastoma,MESH:D005909,,VEGFA,10.0,,16356833
Flurbiprofen,D005480,5104-49-4,Coxsackievirus Infections,MESH:D003384,,IL6,6.84,,25396421
Dopamine,D004298,51-61-6,Atrial Fibrillation,MESH:D001281,,AGT,3.88,,33746155
"1-dodecylsulfonyl-5N,6O-oxomethylidenenojirimycin",C000626913,,Pancreatic Diseases,MESH:D010182,,HMOX1,9.67,,18784349
carboprostacyclin,C026678,69552-46-1,"Anemia, Refractory",MESH:D000753,,TNF,5.69,,10870480
Silicon Dioxide,D012822,7631-86-9,Amphetamine-Related Disorders,MESH:D019969,,PDE4B,11.9,,18316681
acetamide,C030686,60-35-5,Acute Kidney Injury,MESH:D058186,,PLG,2.72,,28885000
"2,6-Dichloroindophenol",D015086,956-48-9,Pneumonia,MESH:D011014,,EGR1,13.53,,29787794
Potassium Iodide,D011193,7681-11-0,Stroke,MESH:D020521,,TGFB1,7.59,,12374626
